Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WWE,"World Wrestling Entertainment",84.78,0.93000000000001,+1.11%,85.32,83.09,637053,"13:01 ET"
BE,"Bloom Energy Corp Cl A",14.52,0.9,+6.61%,14.6,13.62,1321588,"12:52 ET"
SNE,"Sony Corp",51.25,0.88,+1.75%,51.49,50.39,850727,"13:01 ET"
HCC,"Warrior Met Coal Inc",31.88,0.88,+2.84%,32.03,30.87,591646,"13:01 ET"
CCL,"Carnival Corp",55.73,0.87,+1.59%,56.04,54.86,3126578,"13:01 ET"
KMX,"Carmax Inc",78.71,0.84999999999999,+1.09%,79.06,77.73,775514,"13:02 ET"
LSCC,"Lattice Semicond",13.8,0.85,+6.56%,14.93,13.59,2510125,"13:02 ET"
CONE,"Cyrusone Inc",56.53,0.84,+1.51%,56.85,55.7,572444,"13:00 ET"
MOMO,"Momo Inc Ads",35.9,0.83,+2.37%,36.06,35.27,818853,"13:02 ET"
QRVO,"Qorvo Inc",76.43,0.82000000000001,+1.08%,77.67,75.51,676863,"13:01 ET"
QCOM,"Qualcomm Inc",86.95,0.82000000000001,+0.95%,88.22,86.825,12303706,"13:02 ET"
PBF,"PBF Energy Inc",34.4,0.82,+2.44%,35.15,33.18,1205377,"13:01 ET"
COP,Conocophillips,63.91,0.79,+1.25%,64.52,63.27,5253379,"13:02 ET"
MDLZ,"Mondelez Intl Cmn A",51.64,0.79,+1.55%,52.57,51.15,5117076,"13:01 ET"
EA,"Electronic Arts Inc",95.42,0.77,+0.81%,97.21,94.74,1842834,"13:02 ET"
FSLR,"First Solar Inc",62.38,0.85,+1.38%,62.62,61.61,613196,"13:02 ET"
PRGO,"Perrigo Company",48.65,0.73,+1.52%,49.32,47.64,605340,"13:00 ET"
SEDG,"Solaredge Tech",45.01,0.71,+1.60%,45.94,44.7,592169,"13:00 ET"
GDI,"Gardner Denver Holdings Inc",34.43,0.68,+2.01%,34.53,33.78,2608696,"13:00 ET"
I,"Intelsat S.A.",20.9,0.66,+3.26%,21.23,20.04,1151024,"13:01 ET"
APH,"Amphenol Corp",100.21,0.64999999999999,+0.65%,100.66,99.49,701578,"13:02 ET"
TXT,"Textron Inc",53.63,0.63,+1.19%,53.74,53.01,601562,"13:00 ET"
FB,"Facebook Inc",194.03,0.63,+0.33%,196.18,193.83,7837265,"13:02 ET"
FLEX,"Flextronics Intl Ltd",11.66,0.62,+5.62%,12.54,11.35,6788941,"13:02 ET"
TSM,"Taiwan Semiconductor Manufacturing",44.41,0.59,+1.35%,44.56,44.05,3723314,"13:01 ET"
DVN,"Devon Energy Corp",32.715,0.575,+1.79%,33.19,31.3,7972366,"13:02 ET"
CGC,"Canopy Growth Corp",51.08,0.56,+1.11%,51.66,50.18,3294764,"13:01 ET"
GLW,"Corning Inc",32.4,0.55,+1.73%,32.65,31.67,3639459,"13:02 ET"
QD,"Qudian Inc ADR",7.58,0.54,+7.67%,7.705,7.2,6477191,"13:01 ET"
HOME,"At Home Group Inc",23.95,0.46,+1.96%,24.81,23.55,1212649,"13:02 ET"
EXPE,"Expedia Group Inc",130.19,0.34999999999999,+0.27%,131.71,129.13,748407,"13:02 ET"
BMRN,"Biomarin Pharmaceut",85.85,0.31999999999999,+0.37%,86.92,85.22,749676,"13:01 ET"
OKTA,"Okta Inc Cl A",103.77,-0.26000000000001,-0.25%,105.5,102.75,760710,"13:00 ET"
"Downloaded from Barchart.com as of 05-01-2019 12:02pm CDT"
